OPERATORE;ID IMPIANTO;TIPO;UBICAZIONE;PROV;ALTITUDINE;CANALE;BOUQUET;ERP MAX H;ERP MAX V;FREQ. CENTRALE/PORTANTE;MUNICIPIO;ID_NIL;NIL;LONG._decimal;LAT._decimal;Location
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF156526;FM;MF02 - MILANO-ISOZAKI - MILANO;MI;124;;MF02;;45;93,7;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF156527;FM;MF03 - MILANO-ISOZAKI - MILANO;MI;124;;MF03;;45;99,4;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF156528;FM;MF04 - MILANO-ISOZAKI - MILANO;MI;124;;MF04;;45;102,2;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF156529;FM;MFPM - MILANO-ISOZAKI - MILANO;MI;124;;MFPM;;35;88,1;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
A.C.R.C. - ASSOCIAZIONE CULTURALE RADIOFONICA COMUNITARIA;CNF157166;FM;Radiofreccia - Via Felice Casati 45 - Grattacielo Breda - Milano;MI;121;;Radiofreccia;;;91,4;2;10;CENTRALE;9.1994444444;45.48;45.48, 9.1994444444
A.C.R.C. - ASSOCIAZIONE CULTURALE RADIOFONICA COMUNITARIA;CNF157169;FM;Radiofreccia - Via Val Devero 19 - Milano;MI;120;;Radiofreccia;;51;91,2;7;56;FORZE ARMATE;9.1113888889;45.4586111111;45.4586111111, 9.1113888889
CN MEDIA S.R.L.;CNF159349;FM;RADIO KISS KISS - TORRE VELASCA - MILANO;MI;120;;RADIO KISS KISS;;34;97,6;1;1;DUOMO;9.19;45.4580555556;45.4580555556, 9.19
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF100055;RD;MILANO - CORSO SEMPIONE - MILANO;MI;130;12B;DM01;;33;0225,648;8;68;PAGANO;9.1655555556;45.4783333333;45.4783333333, 9.1655555556
EURODAB ITALIA SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;CNF136166;RD;Milano Velasca - MILANO P.ZA VELASCA - Milano;MI;119;12D;Eurodab Italia;;33;0229,072;1;1;DUOMO;9.1908333333;45.46;45.46, 9.1908333333
DAB ITALIA SOCIETA' CONSORTILE PER AZIONI;CNF139483;RD;Milano Sempione - Milano Sempione - Milano;MI;126;12C;DAB Italia;36;;0227,360;8;68;PAGANO;9.1658333333;45.4786111111;45.4786111111, 9.1658333333
GRP S.R.L.;CNF105773;TD;MI via Stamira - Milano, via Stamira d'Ancona 24 - MILANO;MI;125;42;G.R.P. TELEVISIONE;46;;642,0;2;19;PADOVA;9.2283333333;45.5013888889;45.5013888889, 9.2283333333
QUENZA S.R.L.;CNF105774;TD;CORSO SEMPIONE - CORSO SEMPIONE - MILANO;MI;130;29;;38;;538,0;8;68;PAGANO;9.1661111111;45.4786111111;45.4786111111, 9.1661111111
EMMECIUNO - S.R.L.;CNF105779;TD;MI via Silva - Via G. Silva, 36 - MILANO;MI;124;24;VIDEOSTAR;26;;498,0;8;58;DE ANGELI - MONTE ROSA;9.1458333333;45.4783333333;45.4783333333, 9.1458333333
BEACOM S.R.L.;CNF105784;TD;MILANO SAN GALDINO - VIA S. GALDINO - MILANO;MI;127;42;RV1;41;;642,0;8;69;SARPI;9.1655555556;45.4861111111;45.4861111111, 9.1655555556
PREMIATA DITTA BORGHINI & STOCCHETTI DI TORINO S.R.L.;CNF105787;TD;VIA SCARLATTI - VIA SCARLATTI - MILANO;MI;120;57;B&S;45;;762,0;2;10;CENTRALE;9.2066666667;45.4838888889;45.4838888889, 9.2066666667
TELESETTELAGHI S.R.L.;CNF105789;TD;GRATTACIELO STEPHENSON - VIA STEPHENSON N° 43A - MILANO;MI;123;34;TELESETTELAGHI;39;;578,0;8;58;DE ANGELI - MONTE ROSA;9.1502777778;45.4769444444;45.4769444444, 9.1502777778
STARTUP COMMUNICATION SRL;CNF105793;TD;MILANO VIA CASATI - GRATTACIELO BREDA - MILANO;MI;128;35;StartUp;32;;586,0;2;10;CENTRALE;9.2025;45.4827777778;45.4827777778, 9.2025
PERSIDERA S.P.A.;CNF127523;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;MI;125;48;TIMB3;18;;690,0;2;10;CENTRALE;9.1988888889;45.4794444444;45.4794444444, 9.1988888889
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF128046;TD;MILANO - CORSO SEMPIONE - MILANO;MI;130;9;DVM1-MI;37;;205,500;8;68;PAGANO;9.1658333333;45.4786111111;45.4786111111, 9.1658333333
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF128047;TD;MILANO - CORSO SEMPIONE - MILANO;MI;130;30;DVM2;37;;546,0;8;68;PAGANO;9.1658333333;45.4786111111;45.4786111111, 9.1658333333
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF128048;TD;MILANO - CORSO SEMPIONE - MILANO;MI;130;26;DVM3;37;;514,0;8;68;PAGANO;9.1658333333;45.4786111111;45.4786111111, 9.1658333333
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF128049;TD;MILANO - CORSO SEMPIONE - MILANO;MI;130;40;DVM4;39;;626,0;8;68;PAGANO;9.1658333333;45.4786111111;45.4786111111, 9.1658333333
MULTIMEDIA SAN PAOLO SOCIETA' A RESPONSABILITA' LIMITATA;CNF128922;TD;MI Silva - Milano via Silva 36 - MILANO;MI;129;59;MSP1;33;;778,0;8;58;DE ANGELI - MONTE ROSA;9.1466666667;45.4791666667;45.4791666667, 9.1466666667
PERSIDERA S.P.A.;CNF129019;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;MI;125;47;TIMB1;18;;682,0;2;10;CENTRALE;9.1988888889;45.4794444444;45.4794444444, 9.1988888889
PERSIDERA S.P.A.;CNF129108;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;MI;125;55;TIMB2;18;;746,0;2;10;CENTRALE;9.1988888889;45.4794444444;45.4794444444, 9.1988888889
STUDIO TV 1 NEWS S.R.L.;CNF129599;TD;MILANO-CORSO SEMPIONE - CORSO SEMPIONE - MILANO;MI;124;31;Studio1;33;;554,0;8;68;PAGANO;9.1661111111;45.4777777778;45.4777777778, 9.1661111111
UNITEDCOM S.R.L.;CNF134759;TD;MI BREDA - VIA CASATI GRATTACIELO BREDA - MILANO;MI;128;25;UNITEDCOM 1;21;;506,0;2;10;CENTRALE;9.1994444444;45.48;45.48, 9.1994444444
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF136202;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;MI;129;23;DVM1-MI;;14;490,0;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF136203;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;MI;129;30;DVM2;;15;546,0;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF136204;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;MI;129;26;DVM3;;14;514,0;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
RAI - RADIOTELEVISIONE ITALIANA S.P.A.;CNF136205;TD;MILANO-ISOZAKI - GRATTACIELO ISOZAKI EX MILANO FIERA - MILANO;MI;129;40;DVM4;;15;626,0;8;59;TRE TORRI;9.1566666667;45.4780555556;45.4780555556, 9.1566666667
PERSIDERA S.P.A.;CNF137177;TD;CORSO SEMPIONE - CORSO SEMPIONE - MILANO;MI;130;33;RETE A - 2;39;;570,0;8;68;PAGANO;9.1658333333;45.4783333333;45.4783333333, 9.1658333333
PERSIDERA S.P.A.;CNF137178;TD;MILANO REPUBBLICA - MILANO REPUBBLICA - MILANO;MI;133;44;RETE A - 1;16;;658,0;2;10;CENTRALE;9.1988888889;45.4794444444;45.4794444444, 9.1988888889
BEACOM S.R.L.;CNF137840;TD;VIA SILVA - MILANO - MILANO;MI;254;21;SANPAOLOTV;43;;474,0;8;58;DE ANGELI - MONTE ROSA;9.1469444444;45.4791666667;45.4791666667, 9.1469444444
3LETTRONICA INDUSTRIALE S.P.A.;CNF138337;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;37;LA3TV;26;;602,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
CAIRO NETWORK S.R.L.;CNF138341;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;25;CAIRO DUE;26;;506,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
ELETTRONICA INDUSTRIALE SPA;CNF138372;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;52;MEDIASET 1;27;;722,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
ELETTRONICA INDUSTRIALE SPA;CNF138374;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;36;MEDIASET 2;26;;594,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
ELETTRONICA INDUSTRIALE SPA;CNF138376;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;38;MEDIASET 3;26;;610,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
ELETTRONICA INDUSTRIALE SPA;CNF138378;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;49;MEDIASET 4;27;;698,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
ELETTRONICA INDUSTRIALE SPA;CNF138380;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;56;MEDIASET 5;27;;754,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
PRIMA TV - S.P.A.;CNF138393;TD;MILANO REPUBBLICA - GRATTACIELO BREDA - VIA F. CASATI, 45 - MILANO;MI;121;50;DFree;27;;706,0;2;10;CENTRALE;9.1994444444;45.4802777778;45.4802777778, 9.1994444444
TELELIBERTA' - SOCIETA' PER AZIONI;CNF158841;TD;MILANO VIA STEPHENSON - MILANO - MILANO;MI;140;22;TELELIBERTA';37;;482,0;8;75;STEPHENSON;9.1255555556;45.5102777778;45.5102777778, 9.1255555556
